playerID,yearID,stint,teamID,lgID,bats,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,PA,avg,allStar,allStarStart,weight,height,Rating
lollash01,1956,1,CHA,AL,R,136,450,55,132,28,2,11,75,2,0,53,34,4,16,2,6,19,32,3.105,0.293,1,0,185,73,0.350995303
longda02,1956,1,PIT,NL,L,148,517,64,136,20,7,27,91,1,0,54,85,11,0,0,11,10,30,3.525,0.263,1,3,205,76,0.17035039
lopatst01,1956,1,PHI,NL,R,146,535,96,143,33,7,32,95,5,2,75,93,10,1,4,9,17,31,3.765,0.267,0,0,210,74,0.198647684
lopezhe01,1956,1,KC1,AL,R,151,561,91,153,27,3,18,69,4,5,63,73,3,3,8,4,13,27,3.852,0.273,-1,-1,182,71,0.200249343
mantlmi01,1956,1,NYA,AL,B,150,533,132,188,22,5,52,130,10,1,112,99,6,2,1,4,4,25,3.981,0.353,1,8,195,71,0.244403642
matheed01,1956,1,ML1,NL,L,151,552,103,150,21,2,37,95,6,0,91,86,17,1,3,4,4,25,3.969,0.272,0,0,190,73,0.211617657
maxwech01,1956,1,DET,AL,L,141,500,96,163,14,3,28,87,1,1,79,74,1,2,3,8,5,29,3.574,0.326,0,0,185,71,0.213412955
mayswi01,1956,1,NY1,NL,R,152,578,101,171,27,8,36,84,40,10,68,65,20,1,0,3,16,25,3.988,0.296,1,0,170,70,0.313914686
mcdougi01,1956,1,NYA,AL,R,120,438,79,136,13,3,13,56,3,8,68,59,1,3,7,2,5,28,3.123,0.311,0,0,175,72,0.195286259
mcmilro01,1956,1,CIN,NL,R,150,479,51,126,16,7,3,62,4,3,76,54,9,5,8,6,14,27,3.426,0.263,1,6,170,71,0.182700394
minosmi01,1956,1,CHA,AL,R,151,545,106,172,29,11,21,88,12,6,86,40,4,23,4,7,10,31,3.895,0.316,-1,-1,175,70,0.460218598
miranwi01,1956,1,BAL,AL,B,148,461,38,100,16,4,2,34,3,6,46,73,3,0,5,1,8,30,3.13,0.217,-1,-1,150,69,0.091710394
moonwa01,1956,1,SLN,NL,L,149,540,86,161,22,11,16,68,12,9,80,50,7,1,1,0,13,26,3.827,0.298,-1,-1,169,72,0.296530379
morynwa01,1956,1,CHN,NL,L,147,529,69,151,27,3,23,67,4,2,50,67,2,3,1,5,9,30,3.574,0.285,-1,-1,205,74,0.198665544
musiast01,1956,1,SLN,NL,L,156,594,87,184,33,6,27,109,2,0,75,39,15,3,3,7,19,36,4.13,0.31,1,9,175,72,0.466711164
oconnda02,1956,1,ML1,NL,R,139,498,71,119,17,9,2,42,3,3,76,42,0,4,16,4,6,27,3.543,0.239,-1,-1,168,71,0.2365008
piersji01,1956,1,BOS,AL,R,155,601,91,176,40,6,14,87,7,7,58,48,2,1,9,12,19,27,4.068,0.293,1,0,175,72,0.351919328
postwa01,1956,1,CIN,NL,R,143,539,94,134,25,3,36,83,6,0,37,124,2,4,4,2,10,27,3.556,0.249,-1,-1,190,73,0.137313128
powervi01,1956,1,KC1,AL,R,127,530,77,164,21,5,14,63,2,2,24,16,2,1,3,1,5,29,3.42,0.309,1,0,186,72,0.784670505
reesepe01,1956,1,BRO,NL,R,147,572,85,147,19,2,9,46,13,4,56,69,1,1,15,4,14,38,3.877,0.257,-1,-1,160,70,0.173916323
riverji01,1956,1,CHA,AL,L,139,491,76,125,23,5,12,66,20,9,49,75,2,3,6,6,3,35,3.333,0.255,-1,-1,196,72,0.185710819
robinfr02,1956,1,CIN,NL,R,152,572,122,166,27,6,38,83,8,4,64,95,7,20,8,4,14,21,3.926,0.29,1,7,183,73,0.206080633
runnepe01,1956,1,WS1,AL,L,147,578,72,179,29,9,8,76,5,5,58,64,2,2,4,4,18,28,3.926,0.31,-1,-1,170,72,0.214460995
sievero01,1956,1,WS1,AL,R,152,550,92,139,27,2,29,95,0,0,100,88,10,5,0,4,12,30,4.012,0.253,1,0,195,73,0.191924695
simpsha01,1956,1,KC1,AL,L,141,543,76,159,22,11,21,105,2,3,47,82,8,1,1,5,19,31,3.642,0.293,1,0,180,73,0.199283011
skowrbi01,1956,1,NYA,AL,R,134,464,78,143,21,6,23,90,4,4,50,60,3,6,2,1,16,26,3.173,0.308,-1,-1,195,71,0.255154389
smithal04,1956,1,CLE,AL,R,141,526,87,144,26,5,16,71,6,3,84,72,7,8,2,6,15,28,3.765,0.274,-1,-1,189,72,0.20207508
snidedu01,1956,1,BRO,NL,L,151,542,112,158,33,2,43,101,3,3,99,101,26,1,6,4,16,30,3.957,0.292,1,0,179,72,0.20065791
spencda01,1956,1,NY1,NL,R,146,489,46,108,13,2,14,42,1,3,35,65,2,3,4,3,10,28,3.235,0.221,-1,-1,185,74,0.12525079
templjo01,1956,1,CIN,NL,R,154,632,88,180,18,3,2,41,14,4,58,40,0,1,17,4,12,29,4.259,0.285,1,4,175,71,0.286280842
